Course Name,Course ID,Faculty Name,Semester,L,T,P,S,C,Course Type,Basket,Department,Registered Students
Deep Learning for Computer Vision,CS464,Dr. Chinmayanand,6,3,1,0,0,4,elective,B1,DSAI,
Large Languange Models,New,Dr. Sunil S,6,3,0,0,4,4,elective,B1,DSAI,
Natural Language Processing,CS458,Dr. Krishnendu,6,3,1,0,0,4,elective,B1,DSAI,
Deep Speech Processing,New,Prof. SRM Prasanna,6,3,1,0,0,4,elective,B1,DSAI,
Blockchain Technology,CS455,Dr. Rajendra H,6,3,0,0,4,4,elective,B2,DSAI,
Introduction to 5G Network,EC361,Dr. Jagadeesha R Bhat,6,3,1,0,0,4,elective,B2,DSAI,
Model Checking,New,Dr. Pavan,6,3,0,0,4,4,elective,B2,DSAI,
Quantum Communication,New,Dr. Aswath B,6,3,0,0,0,3,elective,B2,DSAI,
Quantum HPC and AI,New,Dr. Manish M (Dr. Aswath),6,1,0,0,0,1,elective,B2,DSAI,
Design Thinking and Innovation,New,Dr. Sandesh P,6,3,1,0,0,4,elective,B2,DSAI,
Deep Learning for Computer Vision,CS464,Dr. Chinmayanand,6,3,1,0,0,4,elective,B1,ECE,
Large Languange Models,New,Dr. Sunil S,6,3,0,0,4,4,elective,B1,ECE,
Natural Language Processing,CS458,Dr. Krishnendu,6,3,1,0,0,4,elective,B1,ECE,
CMOS RF Circuit Design,,Dr. Rajesh Kumar,6,3,1,0,0,4,elective,B1,ECE,
Deep Speech Processing,New,Prof. SRM Prasanna,6,3,0,0,0,4,elective,B1,ECE,
Blockchain Technology,CS455,Dr. Rajendra H,6,3,0,0,4,4,elective,B2,ECE,
Introduction to 5G Network,EC361,Dr. Jagadeesha R Bhat,6,3,1,0,0,4,elective,B2,ECE,
Model Checking,,Dr. Pavan,6,3,0,0,4,4,elective,B2,ECE,
Quantum Communication,,Dr. Aswath B,6,3,0,0,0,3,elective,B2,ECE,
Quantum HPC and AI,,Dr. Manish M (Dr. Aswath),6,1,0,0,0,1,elective,B2,ECE,
Design Thinking and Innovation,New,Dr. Sandesh P,6,3,1,0,0,4,elective,B2,ECE,
Computer Graphics,,Dr. Vivekraj V K,6,3,1,0,0,4,elective,B3,ECE,
Machine Learning,CS307,Dr. Deepak K T,6,3,1,0,0,4,elective,B3,ECE,
Virtualization & Cloud Computing,,Dr. Malay,6,,,0,0,4,elective,B3,ECE,
Data Analytics & Visualization,,Dr. Sunil C K,6,3,1,0,0,4,elective,B4,ECE,
Statistics for Health Technology,DS351,Dr. Ramesh Athe,6,3,1,0,0,4,elective,B4,ECE,
Medical Image Analysis,,Dr. Girish G N,6,2,0,2,4,4,elective,B4,ECE,
Bioinformatics,CS472,Dr. Sunil Kumar PV,6,,,,,,elective,B4,ECE,
Mini Project-II,EC399,Dr. Pankaj Kumar,6,0,0,0,8,2,,,ECE,
,,,,,,,,,,,,
Major-Project,CS499,"Dr. Pramod Yelmewad, Dr. Animesh Roy",8,0,0,0,32,8,,,CSE,
Major-Project,EC499,Dr. Rajesh Kumar,8,0,0,0,32,8,,,ECE,
