Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty
ECE,2,B1(ASD151/HS151/New/New/New/New),Introduction to Design/Introduction to Personal Finance/Introduction to Internet of Things/Concurrency and Computation/Computer Intensive Statistical Methods/Industry Insights Program Part 1,1.5,1,0,0,2,Dr. Sandesh P/Dr. Siddharth/Dr Jagadeesha Bhat/Dr. Pramod Yelmewad/Dr Ramesh Athe/Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan
ECE,2,B2(New/New/New/New/New),Introduction to Digital VLSI Design/Photography101/Linux for Engineers/Data Science with Python/Introduction to Holistic Personality Development,1.5,2,0,0,2,Dr Prakash Pawar/Dr Prabhu Prasad BM/Dr. Shirshendu L/Dr. Abdul Wahid/ Prof. Chachadi and Dr. Chandrika K
ECE,4,MA208,Probability and Random Processes,3.0,1,0,0,4,Dr. Rajib Sharma
ECE,4,EC205,Control Systems,3.0,0,2,0,4,Dr. Pankaj Kumar
ECE,4,EC310,Embedded Systems Design,3.0,1,0,0,4,Dr. Prakash Pawar
ECE,4,EC204,Analog and Digital Communication,3.0,1,2,0,5,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab)
ECE,4,HS204,Economics,3.0,1,0,0,4,Dr. Anushree Kini
ECE,4,HS205,Ethics,3.0,0,0,0,3,Dr. Jolly Thomas IIT Dharwad
ECE,6,CS307,Machine Learning,3.0,0,2,0,4,Dr. Girish GN
ECE,6,B1,Deep Learning for Computer Vision/Large Language Models/Natural Language Processing/Deep Speech Processing/CMOS RF Circuit Design,3.0,1,0,0,4,Chinmayanand/Dr. Sunil S/Dr. Krishnendu/Dr. Pankaj Kumar and Dr. Rajesh Kumar/Prof. SRM Prasanna
ECE,6,B2,Blockchain Technology/Introduction to 5G Network/Model Checking/Quantum Communication/Quantum HPC and AI/Design Thinking and Innovation,3.0,1,0,0,4,Dr. Rajendra H/Dr. Jagadeesha R Bhat/Dr. Pavan/Dr. Aswath B/Dr. Manish M (Dr. Aswath)/Dr. Sandesh P
ECE,6,B3,Automotive Embedded and Multimedia Systems/Microwave Engineering/Computer Graphics/Machine learning/Virtualization and Cloud Computing,3.0,1,0,0,4,Mr. Jagadeesh K (Dr Sibasankar Padhy)/Dr. Somen/Dr. Vivekraj V K/Dr. Deepak KT/Dr Malay
ECE,6,B4,Data Analytics and Visualization/Statistics for Health Technology/Medical Image Analysis/Bioinformatics,3.0,1,0,0,4,Dr. Sunil CK/Dr. Ramesh Athe/Dr. Girish GN/Dr. Sunil Kumar PV
ECE,6,Mini Project 1,Mini Project 1,0.0,0,0,8,2,Dr. Pramod Yelmewad and Animesh Roy
ECE,8,EC499,Major Project,0.0,0,0,32,8,-
