Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule
DSAI,4,DS204,Software Engineering and Services,3,0,2,0,4,Dr. Animesh Chaturvedi,Yes
DSAI,4,CS310,Database Management System,3,1,2,0,5,Dr. Shirshendu & Dr. Utkarsh Khaire,Yes
DSAI,4,DS205,Global Business Perspectives,3,0,0,0,3,Mr. Manmohan Singh,Yes
DSAI,6,DS309,Cloud Computing,3,0,0,4,4,Dr. Animesh Chaturvedi,Yes
DSAI,6,DS306,Financial Data Analytics,3,0,0,4,4,Dr. Utkarsh Khaire,Yes
DSAI,6,DS307,Innovation & Entrepreneurship,3,1,0,0,4,Mr. Ram Subramanian,Yes
DSAI,6,DS308,Data Security & Privacy,3,1,0,0,4,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Yes
DSAI,6,DS399,Mini Project-I,0,0,0,8,2,Coordinator: Dr. Shirshendu,Yes
DSAI,6,HS101,Environmental Studies,,,,,,-,Yes
DSAI,6,B1-CS464,Deep Learning for Computer Vision,3,1,0,0,4,Dr. Chinmayanand,Yes
DSAI,6,B1-NEW,Large Language Models,3,0,0,4,4,Dr. Sunil S,
DSAI,6,B1-CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu,
DSAI,6,B1-NEW,Deep Speech Processing,3,1,0,0,4,Prof. SRM Prasanna,
DSAI,6,B2-CS455,Blockchain Technology,3,0,0,4,4,Dr. Rajendra H,Yes
DSAI,6,B2-EC361,Introduction to 5G Network,3,1,0,0,4,Dr. Jagadeesha R Bhat,
DSAI,6,B2-NEW,Model Checking,3,0,0,4,4,Dr. Pavan,
DSAI,6,B2-NEW,Quantum Communication,3,0,0,0,3,Dr. Aswath B,
DSAI,6,B2-NEW,Quantum HPC and AI,1,0,0,0,1,Dr. Manish M (Dr. Aswath),
DSAI,6,B2-NEW,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,
ECE,2,-,Linear Algebra,3,1,0,0,2,Dr. Somen Bhattacharjee,Yes
ECE,2,-,Optimization,3,1,0,0,2,Dr. Dibyajyoti Guha,Yes
ECE,2,-,Computer Architecture,3,0,2,0,2,Dr.Jagadish D N,Yes
ECE,2,-,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,Yes
ECE,2,-,Data Structures and Algorithms,3,0,2,0,4,Dr. Prabhu Prasad,Yes
ECE,2,-,Network Analysis,2,1,0,0,3,Dr. Sibasankar Padhy,Yes
ECE,2,B3-NEW,Data Science with Python,0,0,2,0,0,Dr. Abdul Wahid,
ECE,2,B3-NEW,Introduction to Digital VLSI Design,0,0,2,0,0,Dr Prakash Pawar,
